source,latitude,longitude,complete_address,existing_archetype,predicted_archetype,final_archetype,archetype_label,number_stories,predicted_stories,stories_conf,roof_shape_u,predicted_roof,roof_conf,construction_type_u,predicted_construction,construction_conf,wall_cladding_u,status_u,steer_damage_rating,wind_damage_rating_u,predicted_damage,damage_conf,actual_damage,year_built_u,occupany_u,building_area_m2,building_urban_setting,building_position_on_street,buidling_height_m,front_elevation_orientation,completed_by,EF_scale
undergrad,38.642122,-90.342003,"8025 Davis Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.99,hip,hip_family,0.697,masonry_un,masonry,1.0,"brick, vinyl",undamaged,,0.0,none,0.73,0.0,1935.0,residential,189,isolated,recessed,5.8,s,Avery,1.0
undergrad,38.6421,-90.341769,"8021 Davis Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.954,hip,hip_family,0.776,masonry_un,masonry,1.0,brick,undamaged,,0.0,none,0.775,0.0,1932.0,residential,164,isolated,recessed,7.0,s,Avery,1.0
undergrad,38.642083,-90.341575,"8015 Davis Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.96,gable,gable_family,0.871,masonry_un,masonry,0.99,brick,undamaged,,0.0,none,0.9,0.0,1932.0,residential,142,isolated,recessed,7.6,s,Avery,1.0
undergrad,38.642058,-90.341339,"8011/8009 Davis Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.974,gable,gable_family,0.867,masonry_un,masonry,1.0,brick,undamaged,,0.0,none,0.67,0.0,1928.0,residential,215,isolated,recessed,7.0,s,Avery,1.0
undergrad,38.642061,-90.341067,"8001 Davis Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.98,hip,hip_family,0.755,masonry_un,masonry,1.0,brick,undamaged,,0.0,none,0.595,0.0,1934.0,residential,193,isolated,recessed,8.0,s,Avery,1.0
undergrad,38.642406,-90.341253,"8008 Venetian Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.975,gable,gable_family,0.849,masonry_un,masonry,0.99,"brick, wood",undamaged,,0.0,none,0.68,0.0,1937.0,residential,170,isolated,recessed,6.4,n,Avery,1.0
undergrad,38.642417,-90.341425,"8010 Venetian Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.965,gable,gable_family,0.85,masonry_un,masonry,0.995,brick,undamaged,,0.0,none,0.72,0.0,1936.0,residential,209,isolated,recessed,6.4,n,Avery,1.0
undergrad,38.642464,-90.341911,"8022 Venetian Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.975,gable,gable_family,0.888,masonry_un,masonry,0.99,brick,undamaged,,0.0,none,0.86,0.0,1936.0,residential,150,isolated,recessed,6.0,n,Avery,1.0
undergrad,38.6425,-90.342192,"8026 Venetian Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.95,gable,gable_family,0.825,masonry_un,masonry,1.0,brick,undamaged,,0.0,none,0.795,0.0,1942.0,residential,156,isolated,recessed,5.8,n,Avery,1.0
undergrad,38.642511,-90.342464,"8032 Venetian Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.964,gable,gable_family,0.876,masonry_un,masonry,1.0,brick,undamaged,,0.0,none,0.81,0.0,1942.0,residential,176,isolated,recessed,6.4,n,Brian,1.0
undergrad,38.642947,-90.342589,"8037/8039 Venetian Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.95,hip,hip_family,0.769,masonry_un,masonry,0.98,stucco,minor_damage,,1.0,none,0.74,1.0,1936.0,residential,203,isolated,recessed,5.5,s,Brian,1.0
undergrad,38.64295,-90.342306,"8029 Venetian Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.969,gable,gable_family,0.845,masonry_un,masonry,0.985,"brick, wood",undamaged,,0.0,none,0.825,0.0,1931.0,residential,194,isolated,recessed,7.0,s,Brian,1.0
undergrad,38.642917,-90.342081,"8027 Venetian Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.98,gable,gable_family,0.917,masonry_un,masonry,1.0,"brick, stone, vinyl",undamaged,,0.0,none,0.81,0.0,1935.0,residential,127,isolated,recessed,6.0,s,Brian,1.0
undergrad,38.642894,-90.341847,"8025 Venetian Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.985,gable,gable_family,0.919,masonry_un,masonry,1.0,brick,undamaged,,0.0,none,0.885,0.0,1938.0,residential,129,isolated,recessed,6.0,s,Brian,1.0
undergrad,38.642881,-90.341611,"8021 Venetian Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.965,hip,hip_family,0.687,masonry_un,masonry,1.0,"brick, stone, wood",undamaged,,0.0,none,0.625,0.0,1935.0,residential,132,isolated,recessed,6.9,s,Brian,1.0
undergrad,38.642858,-90.341378,"8013 Venetian Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,1.0,hip,hip_family,0.642,masonry_un,masonry,1.0,"stucco, brick, wood",undamaged,,0.0,none,0.83,0.0,1931.0,residential,197,isolated,recessed,6.9,s,Brian,1.0
undergrad,38.643147,-90.340933,"601 S Meramec Ave, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.963,gable,gable_family,0.833,masonry_un,masonry,1.0,"brick, vinyl",undamaged,,0.0,none,0.78,0.0,1929.0,residential,232,isolated,recessed,6.7,e,Brian,1.0
undergrad,38.643275,-90.341622,"8020 Orlando Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.935,gable,gable_family,0.878,masonry_un,masonry,0.99,"stucco, brick, wood,vinyl",undamaged,,0.0,none,0.725,0.0,1938.0,residential,154,isolated,recessed,7.0,n,Brian,1.0
undergrad,38.643303,-90.342125,"8028 Orlando Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.945,gable,gable_family,0.89,masonry_un,masonry,0.98,"brick, stone, vinyl",undamaged,,1.0,none,0.815,0.0,1940.0,residential,205,isolated,recessed,7.3,n,Brian,1.0
undergrad,38.643328,-90.342372,"8032 Orlando Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.975,gable,gable_family,0.859,masonry_un,masonry,1.0,brick,minor_damage,,1.0,none,0.81,1.0,1940.0,residential,159,isolated,recessed,7.0,n,Brian,1.0
undergrad,38.643717,-90.342,"8027 Orlando Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.965,gable,gable_family,0.854,masonry_un,masonry,1.0,"brick,stucco",minor_damage,,1.0,none,0.845,1.0,1930.0,residential,166,isolated,recessed,6.4,s,Brian,1.0
undergrad,38.643642,-90.341536,"8021 Orlando Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.96,hip,hip_family,0.683,masonry_un,masonry,1.0,brick,minor_damage,,1.0,none,0.825,1.0,1928.0,residential,109,isolated,recessed,6.4,s,Brian,1.0
undergrad,38.643639,-90.341303,"8011 Orlando Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.97,gable,gable_family,0.899,masonry_un,masonry,1.0,"brick,stucco",undamaged,,0.0,none,0.735,0.0,1935.0,residential,215,isolated,recessed,6.4,s,Brian,1.0
undergrad,38.643614,-90.341044,"8007 Orlando Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.984,gable,gable_family,0.853,masonry_un,masonry,0.955,"brick,vinyl",undamaged,,0.0,none,0.735,0.0,1935.0,residential,170,isolated,recessed,6.3,s,Brian,1.0
undergrad,38.643631,-90.340847,"511 S Meramec Ave, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.965,hip,hip_family,0.658,masonry_un,masonry,0.995,"brick,wood, stone",undamaged,,0.0,none,0.835,0.0,1948.0,residential,121,isolated,recessed,7.0,e,Brian,1.0
undergrad,38.644042,-90.340811,"8000 Rosiline Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.979,gable,gable_family,0.856,masonry_un,masonry,0.99,"brick,stucco,wood,stone",undamaged,,0.0,none,0.83,0.0,1935.0,residential,219,isolated,recessed,7.5,n,Brian,0.0
undergrad,38.644047,-90.341067,"8010 Rosiline Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.985,gable,gable_family,0.913,masonry_un,masonry,1.0,"brick,stone,wood",undamaged,,0.0,none,0.8,0.0,1938.0,residential,153,isolated,recessed,7.4,n,Brian,0.0
undergrad,38.644067,-90.341272,"8016 Rosiline Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.975,gable,gable_family,0.887,masonry_un,masonry,1.0,"brick,stucco",undamaged,,0.0,none,0.775,0.0,1934.0,residential,140,isolated,recessed,6.4,n,Brian,0.0
undergrad,38.644075,-90.341467,"8020 Rosiline Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.965,gable,gable_family,0.833,masonry_un,masonry,0.995,brick,undamaged,,0.0,none,0.755,0.0,1940.0,residential,189,isolated,recessed,6.4,n,Brian,0.0
undergrad,38.644494,-90.341514,"8025 Rosiline Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.955,gable,gable_family,0.855,masonry_un,masonry,0.99,brick,undamaged,,0.0,none,0.785,0.0,1950.0,residential,157,isolated,recessed,6.3,s,Brian,0.0
undergrad,38.644458,-90.341097,"8011 Rosiline Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.98,gable,gable_family,0.942,masonry_un,masonry,0.995,brick,undamaged,,0.0,none,0.855,0.0,1936.0,residential,183,isolated,recessed,6.5,s,Brian,0.0
undergrad,38.644425,-90.340703,"8001 Rosiline Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.955,gable,gable_family,0.864,masonry_un,masonry,1.0,brick,undamaged,,0.0,none,0.705,0.0,1935.0,residential,145,isolated,recessed,6.5,s,Brian,0.0
undergrad,38.641533,-90.34055,"700 S Meramec Ave, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.974,hip,hip_family,0.672,masonry_un,masonry,0.995,"brick,stone,wood",undamaged,,0.0,none,0.855,0.0,1937.0,residential,186,isolated,recessed,7.2,w,Brian,0.0
undergrad,38.64195,-90.340486,"7915 Davis Dr, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.975,gable,gable_family,0.811,masonry_un,masonry,0.985,"stucco,brick",undamaged,,0.0,none,0.88,0.0,1927.0,residential,214,isolated,recessed,7.8,w,Brian,1.0
undergrad,38.642108,-90.340506,"628 S Meramec Ave, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.99,gable,gable_family,0.911,masonry_un,masonry,1.0,brick,undamaged,,0.0,none,0.82,0.0,1936.0,residential,125,isolated,recessed,7.0,w,Brian,1.0
undergrad,38.643031,-90.340369,"606 S Meramec Ave, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.99,gable,gable_family,0.879,masonry_un,masonry,1.0,brick,minor_damage,,1.0,none,0.89,1.0,1949.0,residential,184,isolated,recessed,6.5,w,Brian,1.0
undergrad,38.643944,-90.340253,"500 S Meramec Ave, Saint Louis, MO 63105",19.0,7,19.0,t19,2.0,2,0.97,gable,gable_family,0.913,masonry_un,masonry,1.0,"brick,stone",undamaged,,0.0,none,0.695,0.0,1936.0,residential,177,isolated,recessed,7.5,w,Brian,0.0
